run,model,graph_type,method,Full_Parse_OK,Total_triples_in_KG,Valid_triples,Invalid_triples,Distinct_classes_used,Class_Compliance,Class_Coverage,Distinct_properties_used,Property_Compliance,Property_Coverage
3,llama4-maverick,observation,d2kg,True,89,89,0,5,1.0,0.75,7,0.7142857142857143,1.0
3,llama4-maverick,observation,d2kg-rag,True,70,70,0,4,1.0,0.5,5,0.8,1.0
3,gpt-o1,observation,i2kg,True,90,90,0,5,1.0,0.75,5,0.8,1.0
3,gpt-o1,observation,d2kg,True,79,79,0,5,1.0,0.75,4,0.75,0.6666666666666666
3,gpt-o1,observation,d2kg-rag,False,0,0,0,0,0.0,0.0,0,0.0,0.0
3,gpt-4.1-nano,observation,i2kg,True,27,27,0,6,1.0,0.75,6,0.6666666666666666,0.6666666666666666
3,gpt-4.1-nano,observation,d2kg,True,116,116,0,5,0.0,0.0,5,0.4,0.6666666666666666
3,gpt-4.1-nano,observation,d2kg-rag,False,72,36,36,1,0.0,0.0,1,0.0,0.0
3,llava-llama3,action,dpe,True,34,34,0,0,0.0,0.0,6,0.0,0.0
3,llava-llama3,action,i2kg,True,23,23,0,2,0.0,0.0,11,0.0,0.0
3,llava-llama3,action,d2kg,True,107,107,0,6,1.0,0.8333333333333334,10,0.8,1.0
3,llava-llama3,action,d2kg-rag,True,77,77,0,5,1.0,0.6666666666666666,9,0.7777777777777778,0.875
3,llama4-scout,action,dpe,True,62,62,0,0,0.0,0.0,8,0.0,0.0
3,llama4-scout,action,i2kg,False,71,0,71,0,0.0,0.0,0,0.0,0.0
3,llama4-scout,action,d2kg,True,146,146,0,6,1.0,0.8333333333333334,11,0.5454545454545454,0.75
3,llama4-scout,action,d2kg-rag,True,89,89,0,7,1.0,0.6666666666666666,8,0.5,0.5
3,llama4-maverick,action,dpe,True,6,6,0,0,0.0,0.0,5,0.0,0.0
3,llama4-maverick,action,i2kg,True,136,136,0,5,1.0,0.8333333333333334,8,0.625,0.625
3,llama4-maverick,action,d2kg,True,51,51,0,6,1.0,0.8333333333333334,10,0.6,0.75
3,llama4-maverick,action,d2kg-rag,True,155,155,0,6,1.0,0.8333333333333334,10,0.8,1.0
3,gpt-o1,action,i2kg,True,181,181,0,7,1.0,0.8333333333333334,8,0.875,0.875
3,gpt-o1,action,d2kg,True,332,332,0,7,1.0,0.8333333333333334,8,0.875,0.875
3,gpt-o1,action,d2kg-rag,True,149,149,0,3,0.0,0.0,7,0.0,0.0
3,gpt-4.1-nano,action,i2kg,False,26,0,26,0,0.0,0.0,0,0.0,0.0
3,gpt-4.1-nano,action,d2kg,False,26,0,26,0,0.0,0.0,0,0.0,0.0
3,gpt-4.1-nano,action,d2kg-rag,False,26,0,26,0,0.0,0.0,0,0.0,0.0
4,llava-llama3,observation,dpe,True,18,18,0,0,0.0,0.0,4,0.0,0.0
4,llava-llama3,observation,i2kg,False,16,0,16,0,0.0,0.0,0,0.0,0.0
4,llava-llama3,observation,d2kg,True,67,67,0,6,1.0,0.75,8,0.875,1.0
4,llava-llama3,observation,d2kg-rag,True,72,72,0,3,1.0,0.75,7,0.7142857142857143,0.6666666666666666
4,llama4-scout,observation,dpe,True,30,30,0,0,0.0,0.0,8,0.0,0.0
4,llama4-scout,observation,i2kg,True,35,35,0,5,1.0,0.5,5,0.4,0.6666666666666666
